خطوط كهرباء الضغط المنخفض,LV_Electric_POLYLINEs,LV_Electric_POLYLINEs,,,,
الكابلات النحاسية,Copper_Cable,Copper_Cable,,,,
لوحة التوزيع,Distribution_Board,Distribution_Board,,,,
بوكسية /صندوق توزيع,Distribution_boxes,Distribution_boxes,,,,
كابلات الكهرباء الارضية,GroundElectricCables,GroundElectricCables,,,,
خطوط الكهرباء الضغط العالي,HV_Electric_POLYLINEs,HV_Electric_POLYLINEs,,,,
أبراج كهرباء الضغط العالي,HV_Electric_Poles,HV_Electric_Poles,,,,
اعمدة كهرباء الضغط المنخفض,LV_Electric_Poles,LV_Electric_Poles,,,,
عداد الكهرباء,Meter,Meter,,,,
خطوط الكهرباء الضغط المتوسط,MV_Electric_POLYLINEs,MV_Electric_POLYLINEs,,,,
منشأة الكهرباء,Structure,Structure,,,,
المحطة الفرعية,Substation,Substation,,,,
سويتش,Switch,Switch,,,,
محول,Transformers,Transformers,,,,
